=== RESULTADOS DEL ├ÜLTIMO TRABAJO (Job 0c3facf4-12ae-44f7-8148-213f0a807a67) ===
Estado 'ERROR_VALIDATION' | Motivo 'Email inv├ílido rechazado por el servidor' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010244 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010245 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010246 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010248 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010250 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010251 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010252 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010254 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010256 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010258 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010259 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010262 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010263 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010264 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010265 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010266 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010267 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010268 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010269 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010270 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010271 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010272 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010275 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010276 not found in client database (TXT file)' | 1 facturas
